ImageId,WTxtd
ImageId,"LINESTRING(0 1 , 0 1)"
ImageId,"LINESTRING(789 251 , 1189 251)"
ImageId,"LINESTRING(1189 251 , 789 251)"
ImageId,"LINESTRING(170 240 , 1189 240)"
ImageId,"LINESTRING(1189 240 , 170 240)"
ImageId,"LINESTRING(645 178 , 1299 178)"
ImageId,"LINESTRING(645 178 , 80 179)"
ImageId,"LINESTRING(1299 178 , 645 178)"
ImageId,"LINESTRING(645 189 , 1187 189)"
ImageId,"LINESTRING(645 189 , 80 190)"
ImageId,"LINESTRING(1187 189 , 645 189)"
ImageId,"LINESTRING(80 190 , 80 190)"
ImageId,"LINESTRING(80 179 , 80 179)"
ImageId,"LINESTRING(789 359 , 1180 359)"
ImageId,"LINESTRING(1180 359 , 789 359)"
ImageId,"LINESTRING(786 301 , 1185 301)"
ImageId,"LINESTRING(1185 301 , 786 301)"
ImageId,"LINESTRING(777 1074 , 804 1047)"
ImageId,"LINESTRING(804 1047 , 777 1074)"
ImageId,"LINESTRING(804 1047 , 789 1061)"
ImageId,"LINESTRING(787 312 , 1183 312)"
ImageId,"LINESTRING(1183 312 , 787 312)"
ImageId,"LINESTRING(790 370 , 1179 370)"
ImageId,"LINESTRING(1179 370 , 790 370)"
ImageId,"LINESTRING(1179 370 , 1181 396)"
ImageId,"LINESTRING(615 1169 , 723 1061)"
ImageId,"LINESTRING(615 1169 , 723 1061)"
ImageId,"LINESTRING(723 1061 , 615 1169)"
ImageId,"LINESTRING(723 1061 , 615 1169)"
ImageId,"LINESTRING(647 1183 , 938 902)"
ImageId,"LINESTRING(938 902 , 647 1183)"
ImageId,"LINESTRING(938 902 , 915 925)"
ImageId,"LINESTRING(722 719 , 888 854)"
ImageId,"LINESTRING(722 719 , 684 689)"
ImageId,"LINESTRING(888 854 , 722 719)"
ImageId,"LINESTRING(596 631 , 805 801)"
ImageId,"LINESTRING(805 801 , 596 631)"
ImageId,"LINESTRING(122 989 , 286 1122)"
ImageId,"LINESTRING(286 1122 , 122 989)"
ImageId,"LINESTRING(286 1122 , 388 1025)"
ImageId,"LINESTRING(599 844 , 697 924)"
ImageId,"LINESTRING(599 844 , 513 774)"
ImageId,"LINESTRING(697 924 , 599 844)"
ImageId,"LINESTRING(369 1045 , 428 988)"
ImageId,"LINESTRING(428 988 , 369 1045)"
ImageId,"LINESTRING(653 1193 , 782 1068)"
ImageId,"LINESTRING(782 1068 , 653 1193)"
ImageId,"LINESTRING(726 629 , 861 755)"
ImageId,"LINESTRING(861 755 , 726 629)"
ImageId,"LINESTRING(589 850 , 615 871)"
ImageId,"LINESTRING(615 871 , 589 850)"
ImageId,"LINESTRING(615 871 , 675 920)"
ImageId,"LINESTRING(615 1185 , 729 1071)"
ImageId,"LINESTRING(729 1071 , 615 1185)"
ImageId,"LINESTRING(729 1071 , 913 885)"
ImageId,"LINESTRING(1 905 , 244 1102)"
ImageId,"LINESTRING(244 1102 , 1 905)"
ImageId,"LINESTRING(379 1051 , 394 1036)"
ImageId,"LINESTRING(394 1036 , 379 1051)"
ImageId,"LINESTRING(394 1036 , 523 911)"
ImageId,"LINESTRING(675 920 , 675 920)"
ImageId,"LINESTRING(675 920 , 730 965)"
ImageId,"LINESTRING(965 616 , 999 616)"
ImageId,"LINESTRING(965 616 , 948 617)"
ImageId,"LINESTRING(999 616 , 965 616)"
ImageId,"LINESTRING(886 953 , 904 935)"
ImageId,"LINESTRING(904 935 , 886 953)"
ImageId,"LINESTRING(257 388 , 542 588)"
ImageId,"LINESTRING(257 388 , 245 384)"
ImageId,"LINESTRING(542 588 , 257 388)"
ImageId,"LINESTRING(534 901 , 560 876)"
ImageId,"LINESTRING(534 901 , 630 976)"
ImageId,"LINESTRING(534 901 , 544 892)"
ImageId,"LINESTRING(560 876 , 534 901)"
ImageId,"LINESTRING(388 1025 , 388 1025)"
ImageId,"LINESTRING(675 566 , 732 620)"
ImageId,"LINESTRING(732 620 , 675 566)"
ImageId,"LINESTRING(732 620 , 764 620)"
ImageId,"LINESTRING(262 378 , 543 575)"
ImageId,"LINESTRING(543 575 , 262 378)"
ImageId,"LINESTRING(1076 784 , 1299 784)"
ImageId,"LINESTRING(1299 784 , 1076 784)"
ImageId,"LINESTRING(923 876 , 960 839)"
ImageId,"LINESTRING(960 839 , 923 876)"
ImageId,"LINESTRING(1076 773 , 1299 773)"
ImageId,"LINESTRING(1299 773 , 1076 773)"
ImageId,"LINESTRING(762 553 , 962 553)"
ImageId,"LINESTRING(962 553 , 762 553)"
ImageId,"LINESTRING(962 553 , 1193 552)"
ImageId,"LINESTRING(899 628 , 948 628)"
ImageId,"LINESTRING(948 628 , 899 628)"
ImageId,"LINESTRING(759 1039 , 913 885)"
ImageId,"LINESTRING(913 885 , 759 1039)"
ImageId,"LINESTRING(913 885 , 729 1071)"
ImageId,"LINESTRING(1140 676 , 1175 676)"
ImageId,"LINESTRING(1175 676 , 1140 676)"
ImageId,"LINESTRING(772 1063 , 789 1046)"
ImageId,"LINESTRING(789 1046 , 772 1063)"
ImageId,"LINESTRING(523 911 , 523 911)"
ImageId,"LINESTRING(523 911 , 581 952)"
