ImageId,WTxtd
ImageId,"LINESTRING(0 1 , 0 1)"
ImageId,"LINESTRING(170 46 , 254 116)"
ImageId,"LINESTRING(254 116 , 170 46)"
ImageId,"LINESTRING(254 116 , 401 233)"
ImageId,"LINESTRING(401 233 , 401 233)"
ImageId,"LINESTRING(401 233 , 370 213)"
ImageId,"LINESTRING(215 265 , 223 233)"
ImageId,"LINESTRING(223 233 , 215 265)"
ImageId,"LINESTRING(223 233 , 231 224)"
ImageId,"LINESTRING(223 233 , 227 218)"
ImageId,"LINESTRING(241 186 , 244 173)"
ImageId,"LINESTRING(241 186 , 238 197)"
ImageId,"LINESTRING(244 173 , 241 186)"
ImageId,"LINESTRING(162 244 , 209 285)"
ImageId,"LINESTRING(162 244 , 209 285)"
ImageId,"LINESTRING(209 285 , 162 244)"
ImageId,"LINESTRING(209 285 , 162 244)"
ImageId,"LINESTRING(209 285 , 206 299)"
ImageId,"LINESTRING(260 121 , 292 148)"
ImageId,"LINESTRING(292 148 , 260 121)"
ImageId,"LINESTRING(259 321 , 281 340)"
ImageId,"LINESTRING(281 340 , 259 321)"
ImageId,"LINESTRING(238 197 , 238 197)"
ImageId,"LINESTRING(231 224 , 231 224)"
ImageId,"LINESTRING(206 299 , 206 299)"
ImageId,"LINESTRING(224 297 , 268 336)"
ImageId,"LINESTRING(268 336 , 224 297)"
ImageId,"LINESTRING(370 213 , 370 213)"
ImageId,"LINESTRING(227 218 , 227 218)"
